title,categories,note
Pandora,"Drame, Romance","5,0"
Le Tourbillon de la vie,Drame,"3,3"
As bestas,"Thriller, Drame","4,2"
Black Panther: Wakanda Forever,"Action, Aventure, Fantastique","2,9"
Terrifier 2,Epouvante-horreur,"3,1"
16 ans,"Drame, Romance","3,2"
Pingu,"Animation, Famille","3,5"
Etugen,Documentaire,"2,3"
La Conspiration du Caire,Thriller,"3,8"
Nazar,Drame,"3,8"
Lucie perd son cheval,Comédie dramatique,"3,1"
L'Emprise du démon,Epouvante-horreur,"1,7"
Vaathi (Sir),"Action, Drame","2,7"
Les Cadors,Comédie dramatique,"3,0"
Lumière,"Drame, Romance","3,6"
M3GAN,"Epouvante-horreur, Thriller","2,9"
Les Amants,Drame,"4,8"
Un jour avant la saison des pluies,Drame,"3,9"
La Nuit des morts-vivants,Epouvante-horreur,"4,8"
Le Voleur,"Comédie dramatique, Policier","5,0"
Earwig,Drame,"3,6"
Les Pires,Comédie dramatique,"3,9"
Les Bonnes étoiles,Drame,"3,7"
Le Salon de musique,"Drame, Bollywood","4,0"
Duvidha (Le Dilemme),"Drame, Romance, Fantastique","4,1"
Le Procès,Drame,"5,0"
L'Adolescente,Drame,"2,9"
Cet été-là,"Comédie, Drame","3,3"
Le Chant des vivants,Documentaire,"3,6"
Des garçons de province,Romance,"3,3"
Rewind And Play,Documentaire,"3,6"
Grosse colère et fantaisies,"Animation, Famille","3,7"
Lillian Gish,Documentaire,"3,1"
Le Petit Piaf,"Comédie dramatique, Musical","2,1"
La (Très) grande évasion,Documentaire,"3,4"
Le Quatuor à cornes Là-haut sur la montagne,Animation,"3,3"
Autour de minuit,"Comédie dramatique, Musical","3,7"
Grand marin,Drame,"3,3"
Le Tigre et les animaux de la forêt,Animation,"3,0"
Le Feu Follet,Drame,"5,0"
Whitney Houston : I Wanna Dance With Somebody,"Biopic, Musical","2,5"
Mission régénération,Documentaire,"3,1"
Les Miens,Drame,"3,6"
Théorème,Drame,"3,4"
Natural Light,Drame,"3,4"
"Roland Gori, une époque sans esprit",Documentaire,"3,9"
La Chouette en toque,Animation,"3,8"
Suzhou River,Drame,"3,8"
Unicorn Wars,"Animation, Fantastique, Aventure","3,4"
Couleurs de l'incendie,"Historique, Drame","3,3"
Les Amandiers,Comédie dramatique,"4,0"
E.T. l'extra-terrestre,"Science fiction, Famille, Aventure","4,8"
L'Etrange histoire du coupeur de bois,Comédie dramatique,"3,0"
De Humani Corporis Fabrica,Documentaire,"3,8"
Heureux les fêlés,Comédie dramatique,"3,9"
Annie Colère,Comédie dramatique,"3,8"
Wallace & Gromit : Les Inventuriers,Animation,"4,1"
Seuls les pirates,Drame,"3,4"
Un petit cas de conscience,Policier,"3,4"
L'Homme qui venait d'ailleurs,"Science fiction, Drame","3,1"
Whiplash,"Drame, Musical","4,1"
Lost Highway,"Fantastique, Drame","3,9"
Brazil,"Science fiction, Drame","5,0"
Mulholland Drive,"Fantastique, Thriller, Drame","4,7"
Maestro(s),Drame,"3,0"
Pathaan,"Action, Policier, Thriller, Drame","3,6"
La Règle du jeu,Comédie dramatique,"5,0"
Le Serment de Pamfir,Drame,"3,8"
Falcon Lake,"Comédie dramatique, Romance","3,8"
EO,Drame,"4,2"
Il nous reste la colère,Documentaire,"3,6"
Osez l’inconnu !,"Animation, Famille",
F for Fake,Documentaire,"3,8"
Lilo & Stitch,"Animation, Aventure, Comédie, Famille, Science fiction","3,7"
Laura,"Policier, Romance, Thriller","4,5"
Animal,Documentaire,"3,5"
L'Ours,"Aventure, Drame, Famille","3,9"
L'Horloger de Saint-Paul,Drame,"3,4"
Jurassic Park,"Aventure, Science fiction","3,4"
Le Royaume des étoiles,"Animation, Famille, Aventure","2,8"
Le Parfum vert,"Comédie, Policier","3,5"
Poet,Drame,"3,9"
